Rygel - Jonathan Hardy (hì-ang-á ê chhau-chok-jîn)	ɹˈɪɡɛɫ d͡ʒˈɑːnəθən hˈɑːɹd̬i hi˥˩ aŋ˧ a˥˩ e˨˦ t͡sʰau̯˧ t͡sɔk̚˥ d͡ʑin˨˦
2 goe̍h 21 ji̍t: Kàu-hông Iulius 2-sè, Hoat-kok Thian-chú-kàu sîn-hū. Kàu-hông. 1443 nî chhut-sì.	d͡ʑi˧ ɡu̯eʔ˥ d͡ʑi˨˩ t͡sap̚˧˨ it̚˧˨ d͡ʑit̚˥ , kau̯˥˩ hɔŋ˨˦ ɪˈuːliʲəs d͡ʑi˧ se˨˩ , hu̯at̚˥ kɔk̚˧˨ tʰi̯ɛn˧ t͡su˥ kau̯˨˩ ɕin˧ hu˧ . kau̯˥˩ hɔŋ˨˦ . t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ ɕi˥˩ paʔ˥˩ ɕi˥˩ t͡sap̚˧˨ sã˥ ni˨˦ t͡sʰut̚˥ ɕi˨˩ .
Wilkes Kūn tī 2010 nî 7 goe̍h sî ê jîn-kháu ū 10,489 lâng; kàu 2013 nî 7 goe̍h ê sî piàn 10,010.	wˈɪɫks kun˧ ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˥ ni˨˦ t͡ɕʰit̚˧˨ ɡu̯eʔ˥ ɕi˨˦ e˨˦ d͡ʑin˧ kʰau̯˥˩ u˧ t͡ɕit̚˧˨ ban˨˩ liə̯ŋ˧ ɕi˥˩ paʔ˥˩ pat̚˥ t͡sap̚˧˨ kau̯˥˩ laŋ˨˦ , kau̯˨˩ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˧˨ sã˥ ni˨˦ t͡ɕʰit̚˧˨ ɡu̯eʔ˥ e˨˦ ɕi˨˦ pi̯ɛn˨˩ t͡ɕit̚˧˨ ban˨˩ liə̯ŋ˧ t͡sap̚˥ .
Tī pún kūn-koān sì-ûi ê hêng-chèng-khu ū Dakota Kūn, Steele Kūn, Waseca Kūn, Goodhue Kūn, Dodge Kūn, Scott Kūn, Le Sueur Kūn.	ti˧ pun˥˩ kun˨˩ ku̯an˧ ɕi˥˩ u̯i˨˦ e˨˦ hiə̯ŋ˧ t͡ɕiə̯ŋ˥˩ kʰu˥ u˧ dəkʰˈoᶷt̬ə kun˧ , stˈiːɫ kun˧ , wˈɑːsɛkʰˌæ kun˧ , ɡˈʊdhjuː kun˧ , dˈɑːd͡ʒ kun˧ , skˈɑːt kun˧ , le˥ sˈuːjʊɹ kun˧ .
Tī pún kūn-koān sì-ûi ê hêng-chèng-khu ū Clay Kūn, Comanche Kūn, Stephens Kūn, Jefferson Kūn, Wichita Kūn, Tillman Kūn.	ti˧ pun˥˩ kun˨˩ ku̯an˧ ɕi˥˩ u̯i˨˦ e˨˦ hiə̯ŋ˧ t͡ɕiə̯ŋ˥˩ kʰu˥ u˧ klˈeᶦ kun˧ , kəmˈænt͡ʃi kun˧ , stˈiːvənz kun˧ , d͡ʒˈɛfɚsən kun˧ , wˈɪt͡ʃət̬ˌɔː kun˧ , tʰˈɪɫmən kun˧ .
San Juan Kūn (Eng-gí: San Juan County) sī Bí-kok Washington chiu ê kūn (county), ū jîn-kháu 15875 .	san˥ wˈɑːn kun˧ iə̯ŋ˧ ɡi˥˩ , san˥ wˈɑːn kʰˈaᶷnti ɕi˧ bi˥ kɔk̚˧˨ wˈɑːʃɪŋtən t͡ɕi̯u˥ e˨˦ kun˧ kʰˈaᶷnti , u˧ d͡ʑin˧ kʰau̯˥˩ t͡ɕit̚˧˨ ban˨˩ ɡɔ˨˩ t͡ɕʰi̯ɛn˧ pat̚˥ paʔ˥˩ t͡ɕʰit̚˥ t͡sap̚˧˨ ɡɔ˧ .
Ohio Chiu Lō͘-sòaⁿ 676 (Eng-bûn: ; SR 676) sī chi̍t-tiâu tī Bí-kok Ohio ê chiu-kip kong-lō͘.	oᶷhˈaᶦoᶷ t͡ɕi̯u˥ lɔ˨˩ sũ̯ã˨˩ lak̚˧˨ paʔ˥˩ t͡ɕʰit̚˥ t͡sap̚˧˨ lak̚˥ iə̯ŋ˧ bun˨˦ , sˈiːnjɚ lak̚˧˨ paʔ˥˩ t͡ɕʰit̚˥ t͡sap̚˧˨ lak̚˥ ɕi˧ t͡ɕit̚˧˨ ti̯au̯˨˦ ti˧ bi˥ kɔk̚˧˨ oᶷhˈaᶦoᶷ e˨˦ t͡ɕi̯u˧ kip̚˧˨ kɔŋ˧ lɔ˧ .
Chiu Lō͘-sòaⁿ 118 (Eng-bûn: ; SR-118) sī chi̍t tiâu tī Bí-kok Alabama Chiu ê chiu-kip kong-lō͘.	t͡ɕi̯u˥ lɔ˨˩ sũ̯ã˨˩ t͡ɕit̚˧˨ paʔ˥˩ t͡ɕit̚˧˨ t͡sap̚˧˨ pat̚˧˨ iə̯ŋ˧ bun˨˦ , sˈiːnjɚ t͡ɕit̚˧˨ paʔ˥˩ t͡ɕit̚˧˨ t͡sap̚˧˨ pat̚˧˨ ɕi˧ t͡ɕit̚˥ ti̯au̯˨˦ ti˧ bi˥ kɔk̚˧˨ ˌæləbˈæmə t͡ɕi̯u˥ e˨˦ t͡ɕi̯u˧ kip̚˧˨ kɔŋ˧ lɔ˧ .
Chiu Chú-kàn Kong-lō͘ 79 (Eng-bûn: ; WIS 79; STH 79), mā tiāⁿ-tiāⁿ hō-chòe Kong-lō͘ 79 (), sī chi̍t tiâu tī Bí-kok Wisconsin Chiu ê chiu-kip kong-lō͘.	t͡ɕi̯u˥ t͡su˥ kan˨˩ kɔŋ˧ lɔ˧ t͡ɕʰit̚˥ t͡sap̚˧˨ kau̯˥˩ iə̯ŋ˧ bun˨˦ , wˈɪs t͡ɕʰit̚˥ t͡sap̚˧˨ kau̯˥˩ , ˈɛs tʰˈiː ˈeᶦt͡ʃ t͡ɕʰit̚˥ t͡sap̚˧˨ kau̯˥˩ , ma˧ tĩ̯ã˨˩ tĩ̯ã˧ hə˨˩ t͡su̯e˨˩ kɔŋ˧ lɔ˧ t͡ɕʰit̚˥ t͡sap̚˧˨ kau̯˥˩ , ɕi˧ t͡ɕit̚˥ ti̯au̯˨˦ ti˧ bi˥ kɔk̚˧˨ wɪskˈɑːnsən t͡ɕi̯u˥ e˨˦ t͡ɕi̯u˧ kip̚˧˨ kɔŋ˧ lɔ˧ .
Illinois Lō͘-sòaⁿ 159 (Eng-bûn: ; IL 159) sī chi̍t tiâu ūi-tī Bí-kok Illinois Chiu ê chiu-kip kong-lō͘.	ˌɪlənˈɔᶦ lɔ˨˩ sũ̯ã˨˩ t͡ɕit̚˧˨ paʔ˥˩ ɡɔ˨˩ t͡sap̚˧˨ kau̯˥˩ iə̯ŋ˧ bun˨˦ , ˈɪɫ t͡ɕit̚˧˨ paʔ˥˩ ɡɔ˨˩ t͡sap̚˧˨ kau̯˥˩ ɕi˧ t͡ɕit̚˥ ti̯au̯˨˦ u̯i˨˩ ti˧ bi˥ kɔk̚˧˨ ˌɪlənˈɔᶦ t͡ɕi̯u˥ e˨˦ t͡ɕi̯u˧ kip̚˧˨ kɔŋ˧ lɔ˧ .
5 goe̍h 19 ji̍t: Malcolm X, Bí-kok chèng-tī-chiá.	ɡɔ˧ ɡu̯eʔ˥ t͡sap̚˧˨ kau̯˥˩ d͡ʑit̚˥ , mˈæɫkəm ˈɛks , bi˥ kɔk̚˧˨ t͡ɕiə̯ŋ˥˩ ti˨˩ t͡ɕi̯a˥˩ .
10 goe̍h 9 ji̍t: John Lennon, chhòng-chok koa-chhiú.	t͡sap̚˥ ɡu̯eʔ˥ kau̯˥˩ d͡ʑit̚˥ , d͡ʒˈɑːn lˈɛnən , t͡sʰɔŋ˥˩ t͡sɔk̚˧˨ ku̯a˧ t͡ɕʰi̯u˥˩ .
12 goe̍h 19 ji̍t: Chîⁿ Chiong-su, Tiong-kok chok-ka. 1910 nî chhut-sì.	t͡sap̚˧˨ d͡ʑi˧ ɡu̯eʔ˥ t͡sap̚˧˨ kau̯˥˩ d͡ʑit̚˥ , t͡ɕĩ˨˦ t͡ɕi̯ɔŋ˧ su˥ , ti̯ɔŋ˧ kɔk̚˧˨ t͡sɔk̚˥ ka˥ . t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ kau̯˥ paʔ˥˩ t͡ɕit̚˧˨ t͡sap̚˥ ni˨˦ t͡sʰut̚˥ ɕi˨˩ .
Jacques Chirac, Hoat-kok Chóng-thóng (1995 nî – 2007 nî)	ʒˈɑːk ʃɪɹˈæk , hu̯at̚˥ kɔk̚˧˨ t͡sɔŋ˥ tʰɔŋ˥˩ t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ kau̯˥ paʔ˥˩ kau̯˥ t͡sap̚˧˨ ɡɔ˧ ni˨˦ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕʰit̚˧˨ ni˨˦
Karlskoga sī Sūi-tián Örebro Koān Karlskoga Chū-tī-chhī ê chi̍t-ê tē-hng (tätort) siâⁿ-chhī.	kʰˈɑːɹɫskɑːɡə ɕi˧ su̯i˨˩ ti̯ɛn˥˩ ˈɔːɹbɹoᶷ ku̯an˧ kʰˈɑːɹɫskɑːɡə t͡su˨˩ ti˨˩ t͡ɕʰi˧ e˨˦ t͡ɕit̚˧˨ e˨˦ te˨˩ hŋ̍˥ tʰˈæt̬ɔːɹt ɕĩ̯ã˧ t͡ɕʰi˧ .
Tī Capalbio ê sì-ûi ū Manciano, Montalto di Castro, kap Orbetello téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ kəpʰˈæɫbaᶦoᶷ e˨˦ ɕi˥˩ u̯i˨˦ u˧ mɑːnt͡ʃiʲˈɑːnoᶷ , moᶷntˈɑːɫtoᶷ dˈiː kʰˈæstɹoᶷ , kap̚˧˨ ˈɔːɹbtɛloᶷ tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī San Salvatore di Fitalia ê sì-ûi ū Castell'Umberto, Frazzanò, Mirto, Naso, Galati Mamertino, kap Tortorici téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ san˥ sæɫvətʰˈɔːɹi dˈiː fɪtʰˈæɫjə e˨˦ ɕi˥˩ u̯i˨˦ u˧ kʰˈeᶦstəɫ əmbˈɛɹt̬oᶷ , fɹəzˈɑːnoᶷ , mˈɪɹt̬oᶷ , nˈɑːsoᶷ , ɡɑːlˈɑːt̬i məmɚtʰˈiːnoᶷ , kap̚˧˨ tɔːɹt̬ɔːɹˈiːt͡ʃi tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Gorrevod ê sì-ûi ū Boz, Chevroux, Pont-de-Vaux, Reyssouze, Saint-Bénigne, kap Saint-Étienne-sur-Reyssouze téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ ɡˈɔːɹivˌɑːd e˨˦ ɕi˥˩ u̯i˨˦ u˧ bˈoᶷz , ʃɛvɹˈoᶷʌks , pʰˈɑːnt dˈiː vˈɔːks , ɹˈeᶦsoᶷˌuːz , sˈeᶦnt bˈɛnɪɡn , kap̚˧˨ sˈeᶦnt ˈɛt̬iʲɛn sˈɝ ɹˈeᶦsoᶷˌuːz tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Saint-Geniez ê sì-ûi ū Authon, Le Castellard-Melan, Châteaufort, Entrepierres, Valavoire, kap Valernes téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ sˈeᶦnt d͡ʒˈiːniːz e˨˦ ɕi˥˩ u̯i˨˦ u˧ ˈɔːθən , le˥ kʰˈæstɛlɚd mˈɛlən , ʃætʰˈoᶷfɔːɹt , ˈɑːntɹeᶦpiʲˌɛɹz , vˈæləvˌɔᶦɹ , kap̚˧˨ vˈælɝnz tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Sainte-Colombe ê sì-ûi ū Les Pins, La Rochette, Saint-Amant-de-Bonnieure, Saint-Angeau, kap Saint-Mary téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ sˈeᶦnt koᶷlˈoᶷmbi e˨˦ ɕi˥˩ u̯i˨˦ u˧ lˈɛs pʰˈɪnz , la˥ ɹəʃˈɛt , sˈeᶦnt ˈʌmənt dˈiː bˈɑːnijˌʊɹ , sˈeᶦnt ˈæŋoᶷ , kap̚˧˨ sˈeᶦnt mˈɛɹi tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Troche ê sì-ûi ū Beyssac, Lubersac, Orgnac-sur-Vézère, Saint-Martin-Sepert, Saint-Pardoux-Corbier, kap Vigeois téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ tɹˈɑːt͡ʃ e˨˦ ɕi˥˩ u̯i˨˦ u˧ bˈeᶦsək , lˈuːbɚsˌeᶦk , ˈɔːɹɡnək sˈɝ vˈɛzɛɹ , sˈeᶦnt mˈɑːɹt̬ən sˈɛpʰɛɹt , sˈeᶦnt pʰˈɑːɹd̬uː kʰˈɔːɹbiʲɚ , kap̚˧˨ vˈɪd͡ʒiʲˌɑːɪs tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Connezac ê sì-ûi ū Lussas-et-Nontronneau, Beaussac, Hautefaye, kap Rudeau-Ladosse téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ kənˈɛzək e˨˦ ɕi˥˩ u̯i˨˦ u˧ lˈʌsəs ˈɛt nˌɑːntɹənˈoᶷ , bjˈuːzək , hˈoᶷtfeᶦ , kap̚˧˨ ɹˈuːd̬oᶷ lˈɑːd̬oᶷz tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Brionne ê sì-ûi ū Authou, Aclou, Le Bec-Hellouin, Calleville, Fontaine-la-Soret, Franqueville, Harcourt, Hecmanville, Nassandres, Perriers-la-Campagne, kap Pont-Authou téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ bɹiʲˈɔːn e˨˦ ɕi˥˩ u̯i˨˦ u˧ ˈɔːθaᶷ , əklˈoᶷʌ , le˥ bˈɛk hˈɛluːˌiːn , kʰˈeᶦɫvɪɫ , fɔːntˈeᶦn lˈɑː sˈɔːɹt , fɹˈæŋkjuːvˌɪɫ , hˈɑːɹkɔːɹt , hˈɛkmænvɪɫ , nˈæsɑːndɹeᶦz , pʰˈɝɹiʲɚz lˈɑː kæmpˈeᶦn , kap̚˧˨ pʰˈɑːnt ˈɔːθaᶷ tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Montpezat ê sì-ûi ū Combas, Parignargues, Saint-Côme-et-Maruéjols, Saint-Mamert-du-Gard, kap Souvignargues téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ moᶷntpˈɛzət e˨˦ ɕi˥˩ u̯i˨˦ u˧ kəmbˈæs , pɚˈaᶦnɑːɹɡjuːz , sˈeᶦnt kʰˈʌm ˈɛt mɚˈuːd͡ʒoᶷɫs , sˈeᶦnt mˈʌmɚt dˈuː ɡˈɑːɹd , kap̚˧˨ sˈuːviɡnˌɑːɹɡjuːz tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Sarcos ê sì-ûi ū Aussos, Nénigan, Puymaurin, Monbardon, Monties, kap Saint-Blancard téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ sˈɑːɹkɔːs e˨˦ ɕi˥˩ u̯i˨˦ u˧ ˈaᶷzɛˌoᶷˌɛs , nˈɛnɪɡən , pʰˈʌiməˌʌɹˌɪn , mˈoᶷnbɑːɹd̬ˌɔːn , mˈɔːntiʲiz , kap̚˧˨ sˈeᶦnt blˈæŋkɑːɹd tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Saint-Germain-en-Coglès ê sì-ûi ū Le Châtellier, Lécousse, Montours, Parigné, Romagné, Saint-Sauveur-des-Landes, kap Saint-Étienne-en-Coglès téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ sˈeᶦnt d͡ʒɚmˈeᶦn ˈɛn kʰˈɔːɡlɛs e˨˦ ɕi˥˩ u̯i˨˦ u˧ le˥ t͡ʃˈæt̬ɛliʲɚ , ləkʰˈuːs , mˈɑːntaᶷɚz , pɚˈaᶦn , ɹoᶷmˈæɡnə , sˈeᶦnt sˈaᶷvjʊɹ dˈɛs lˈændz , kap̚˧˨ sˈeᶦnt ˈɛt̬iʲɛn ˈɛn kʰˈɔːɡlɛs tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Chamblay ê sì-ûi ū Germigney, Chissey-sur-Loue, Écleux, Ounans, Saint-Cyr-Montmalin, Santans, Vadans, kap Villeneuve-d'Aval téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ t͡ʃˈæmbleᶦ e˨˦ ɕi˥˩ u̯i˨˦ u˧ d͡ʒˈɝmɪɡni , t͡ʃˈɪsi sˈɝ lˈaᶷ , ɪklˈɛʌks , ˈaᶷnənz , sˈeᶦnt sˈɪɹ mˈɑːntmælɪn , sˈɑːntɑːns , vˈɑːd̬ənz , kap̚˧˨ vˈɪlɪnuːv dˈiː ˈævəɫ tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Saint-Nizier-sous-Charlieu sī ūi-tī Hoat-kok Rhône-Alpes toā-khu Loire séng ê chi̍t ê commune.	sˈeᶦnt naᶦzˈɪɹ sˈuːz t͡ʃˈɑːɹluː ɕi˧ u̯i˨˩ ti˧ hu̯at̚˥ kɔk̚˧˨ ɹˈoᶷn ˈæɫps tu̯a˨˩ kʰu˥ lˈɔᶦɹ ɕiə̯ŋ˥˩ e˨˦ t͡ɕit̚˥ e˨˦ kʰˈɑːmjuːn .
Saint-Vincent-Rive-d'Olt sī ūi-tī Hoat-kok Midi-Pyrénées toā-khu Lot séng ê chi̍t ê commune.	sˈeᶦnt vˈɪnsənt ɹˈɪv dˈiː ˈoᶷɫt ɕi˧ u̯i˨˩ ti˧ hu̯at̚˥ kɔk̚˧˨ mˈiːd̬i pʰˈɪɹəiz tu̯a˨˩ kʰu˥ lˈɑːt ɕiə̯ŋ˥˩ e˨˦ t͡ɕit̚˥ e˨˦ kʰˈɑːmjuːn .
Flottemanville-Hague sī ūi-tī Hoat-kok Basse-Normandie toā-khu Manche koān ê chi̍t ê commune.	flˈɑːtmənvɪɫ hˈeᶦɡ ɕi˧ u̯i˨˩ ti˧ hu̯at̚˥ kɔk̚˧˨ bˈæs nˈɔːɹməndi tu̯a˨˩ kʰu˥ mˈænt͡ʃ ku̯an˧ e˨˦ t͡ɕit̚˥ e˨˦ kʰˈɑːmjuːn .
